time,open,high,low,close,EMA,Volume,Index,Index
1502928000,4261.48,4485.39,3850,4139.98,NaN,2376.348404,NaN,NaN
1503187200,4120.98,4211.08,3400,4040,NaN,2125.51094,NaN,NaN
1503446400,4040,4453.91,4013.89,4280.68,NaN,2362.168058,NaN,NaN
1503705600,4280.71,4400,4124.54,4386.69,NaN,1182.642269,NaN,NaN
1503964800,4353.65,4745.42,4313.55,4724.89,NaN,1968.970601,NaN,NaN
1504224000,4689.89,4939.19,4286.87,4509.08,NaN,2181.031159,NaN,NaN
1504483200,4505,4662.87,3603,4619.77,NaN,3430.946497,NaN,NaN
1504742400,4619.77,4788.59,4028.93,4258.81,NaN,2291.467973,NaN,NaN
1505001600,4258.81,4394.59,3801,4163.72,NaN,2239.992659,NaN,NaN
1505260800,4159.72,4165.38,2817,3700,NaN,4547.35058,NaN,NaN
1505520000,3674.01,4123.2,3470.66,4035.01,NaN,3009.741618,NaN,NaN
1505779200,4060,4089.97,3567,3609.99,NaN,2624.921289,NaN,NaN
1506038400,3592.84,3817.19,3505.55,3660.02,NaN,2253.395606,NaN,NaN
1506297600,3660.02,4249.94,3653.69,4193,NaN,1882.893666,NaN,NaN
1506556800,4192.11,4380,3952.01,4378.51,NaN,3172.448073,NaN,NaN
1506816000,4378.49,4561.63,4180.8,4310,NaN,2465.044222,NaN,NaN
1507075200,4314.9,4417,4110,4369,NaN,2154.132915,NaN,NaN
1507334400,4369,4889.98,4312.56,4786.95,NaN,1462.522649,NaN,NaN
1507593600,4786.95,5439.99,4680.59,5430,NaN,3073.352651,NaN,NaN
1507852800,5439.99,5922.3,5379.84,5709.99,4365.3045,4194.110041,NaN,NaN
1508112000,5710,5788.91,5037.95,5512.06,4474.51930952381,5276.670211,NaN,NaN
1508371200,5513,6171,5490.26,6024.97,4622.181280045352,5519.00702,NaN,NaN
1508630400,6003.27,6080,5450,5477.03,4703.595443850556,5755.068698,NaN,NaN
1508889600,5506.92,5980,5286.98,5768.83,4805.046353960027,5659.485503,NaN,NaN
1509148800,5768.79,6248.68,5630.03,6120.5,4930.327653582882,4555.219628,NaN,NaN
1509408000,6120.52,7300,6100,7019.98,5129.342162765464,5691.000916,NaN,NaN
1509667200,7010.31,7590.25,6901,7345.01,5340.358147263992,4498.521689,NaN,NaN
1509926400,7345.1,7770.02,6651,7303,5527.276418953135,6025.577557,NaN,NaN
1510185600,7303.01,7392,6100,6245.05,5595.635807624265,7922.259274,NaN,NaN
1510444800,6245.05,6697.47,5325.01,6574.99,5688.9076354695735,8844.018639,NaN,NaN
1510704000,6575.99,7989,6575.99,7699.19,5880.3630987581855,8093.95852,NaN,NaN
1510963200,7680.01,8319.99,7422,8212,6102.4237560193105,11708.241269,NaN,NaN
1511222400,8212.49,8400,7801,8019.99,6285.0491125889,12183.432413,NaN,NaN
1511481600,8019.97,9350,7850,9128.02,6555.808244723291,12851.793031,NaN,NaN
1511740800,9128,11300.03,8520,9687.88,6854.100792844883,22791.375407,NaN,NaN
1512000000,9687.88,11190,8850.8,10890.01,7238.473098288227,20289.937719,NaN,NaN
1512259200,10902.69,11853,10500,11699.99,7663.379469879825,15518.016938,NaN,NaN
1512518400,11698,17204.99,11665.58,15880,8445.914758462699,31787.807643,NaN,NaN
1512777600,15880,17470,12368,16560.02,9218.686686228157,42289.446571,NaN,NaN
1513036800,16560.04,16976.45,14666.56,16340,9896.907001825475,33469.414703,NaN,NaN
1513296000,16339.99,19798.68,16300.06,18860.02,10750.53681117543,22562.240743,NaN,NaN
1513555200,18865,19300,14777.66,16488.98,11297.055210111104,37283.258467,NaN,NaN
1513814400,16480.52,17309.5,10961,13300,11487.81185676719,69542.02735,NaN,NaN
1514073600,13300,16050,11640,15689.01,11887.925965646506,59340.410699,NaN,NaN
1514332800,15709.98,16498.05,13150,14378.9,12125.161587965886,54749.730853,NaN,NaN
1514592000,14378.99,14398.85,11750,13716.36,12276.704293873896,30990.147757,NaN,NaN
1514764800,13715.65,15473.49,12750,14919.51,12528.400075409716,44593.675594,NaN,NaN
1515024000,14919.51,17176.24,13918.04,17069.79,12960.91340156117,63152.598207,NaN,NaN
1515283200,17069.79,17099.96,12812,14400,13097.969268079154,53408.739723,NaN,NaN
1515542400,14401,14968.68,11400,13740.01,13159.116004452568,67382.887543,NaN,NaN
1515801600,13749.95,14580,12569.2,13539.93,13195.384004028514,43891.497562,NaN,NaN
1516060800,13500,13542.93,9035,10961.97,12982.677908406751,184197.400758,NaN,NaN
1516320000,10960,13099,10360,11530,12844.327631415632,104278.006674,NaN,NaN
1516579200,11530,11926.35,9900.24,11349.99,12702.009761757,108385.117105,NaN,NaN
1516838400,11349.96,11794.05,10311.15,11491,12586.675498732524,72757.594488,NaN,NaN
1517097600,11499.98,12244,9900,10237.51,12362.945451234189,56612.090008,NaN,NaN
1517356800,10230,10425.85,8010.02,8873.03,12030.572551116647,101552.348091,NaN,NaN
1517616000,8873.03,9473.01,6625,6939.99,11545.755165296014,124141.623666,40,40
1517875200,6939.63,8476,6000.01,7784.02,11187.49467336306,162501.498122,8,8
1518134400,7789.9,9065.78,7726.53,8063.88,10890.007561614198,114887.951912,44,44
1518393600,8063.82,9489.6,8053,9449.99,10752.863031936657,118254.776313,42,42
1518652800,9449.98,11075.07,9301.5,11039.55,10780.166552704593,132470.911096,71,71
1518912000,11039.55,11786.01,10080,11200.99,10820.244976256537,150122.152147,63,63
1519171200,11195.07,11304.03,9570.19,10131.04,10754.606407089248,192376.687607,54,54
1519430400,10131.04,10496.97,9274.8,10324,10713.596273080748,104139.966641,31,31
1519689600,10321,11098,10121,10920,10733.253770882582,86598.922835,44,44
1519948800,10923.36,11565,10770,11515,10807.70579270329,62320.345942,47,47
1520208000,11515,11710,9389.31,9910,10722.210002922024,95307.474506,55,55
1520467200,9910,10099,8329,8770.22,10536.306193119926,142401.77749,39,39
1520726400,8770.22,9888.88,8450,9150,10404.27703187041,126747.730257,40,40
1520985600,9151.92,9333.78,7650,8260,10200.060171692276,140814.526278,40,40
1521244800,8260,8705.23,7322,8600,10047.673488673963,147895.522982,31,31
1521504000,8595.01,9177.01,8280,8722.9,9921.50458499073,125453.338346,37,37
1521763200,8720,8999.95,8269,8470.15,9783.280338801136,104459.246896,28,28
1522022400,8470.14,8514.89,7728,7949.3,9608.6155446296,107860.953552,31,31
1522281600,7949.3,7975,6600.1,6923.91,9352.929302283923,156795.486188,18,18
1522540800,6922,7520,6430,7405.21,9167.43222587593,113982.322346,16,16
1522800000,7405.21,7427.52,6500,6601.39,8923.047251982984,108711.927184,22,22
1523059200,6601.39,7185,6586.28,6782.72,8719.206561317938,87775.548638,20,20
