time,open,high,low,close,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1502928000,4261.48,4485.39,4200.74,4285.08,4360.5715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-323.9542920101529,34.05,NaN,NaN
1503014400,4285.08,4371.52,3938.77,4108.37,4194.649156062707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-583.3408826449333,33.38,NaN,NaN
1503100800,4108.37,4184.69,3850,4139.98,4079.982384719264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-303.90664328609404,NaN,NaN,NaN
1503187200,4120.98,4211.08,4032.62,4086.29,4125.675650867674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-490.0488853831463,NaN,NaN,NaN
1503273600,4069.13,4119.62,3911.79,4016,4031.1374456613844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-488.08512459115235,33.88,NaN,NaN
1503360000,4016,4104.82,3400,4040,3933.7547979499072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300.7940170683358,37.2,NaN,NaN
1503446400,4040,4265.8,4013.89,4114.01,4122.4530630996605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.44795572281913,36.21,NaN,NaN
1503532800,4147,4371.68,4085.01,4316.01,4207.073371489959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,577.0404835893204,36.87,NaN,NaN
1503619200,4316.01,4453.91,4247.48,4280.68,4320.750204613153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,187.93525672210524,40.03,NaN,NaN
1503705600,4280.71,4367,4212.41,4337.44,4296.9091884775435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,328.80774040125544,NaN,NaN,NaN
1503792000,4332.51,4400,4285.54,4310.01,4328.0972318073655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.06181895096861,NaN,NaN,NaN
1503878400,4310.01,4399.82,4124.54,4386.69,4313.592965184863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,674.3007001494569,38.53,NaN,NaN
1503964800,4353.65,4625.85,4313.55,4587.48,4496.922297545093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1129.5394667062262,38.7,NaN,NaN
1504051200,4564.52,4647.51,4416.01,4555.14,4549.798567008271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1292.8396815311082,40.69,NaN,NaN
1504137600,4555.14,4745.42,4555.14,4724.89,4660.418577330814,NaN,NaN,NaN,67.85827398305986,NaN,NaN,NaN,NaN,NaN,107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1729.6123007997662,44.85,NaN,NaN
