time,open,high,low,close,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1502928000,4261.48,4349.99,4261.32,4349.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.088865,NaN,NaN,NaN
1502956800,4333.32,4485.39,4333.32,4352.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-96.51230629275881,NaN,NaN,NaN
1502985600,4352.33,4369.69,4200.74,4285.08,4360.5715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-97.27121425268645,NaN,NaN,NaN
1503014400,4285.08,4340.62,4134.61,4300.25,4319.716699920828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,221.71522407283254,NaN,NaN,NaN
1503043200,4285,4371.52,4193.7,4236.89,4306.2669073893885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.36614146840259,NaN,NaN,NaN
1503072000,4234.54,4297.75,3938.77,4108.37,4194.649156062707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.659833845080403,NaN,NaN,NaN
1503100800,4108.37,4184.69,3933.21,4033.47,4133.636357620719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.17688627548596,NaN,NaN,NaN
1503129600,4033.47,4100,3850,3972.05,4071.6492112659053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-34.12149650748578,NaN,NaN,NaN
1503158400,4036.19,4149.99,3953.4,4139.98,4079.982384719264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.4382190410836273,NaN,NaN,NaN
1503187200,4120.98,4156.56,4044,4155.87,4098.035998935052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.345231187594095,NaN,NaN,NaN
1503216000,4155.87,4211.08,4032.62,4125,4108.665797099051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.64456558577863,NaN,NaN,NaN
1503244800,4125,4185.94,4069.13,4086.29,4125.675650867674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-224.3395864885305,NaN,NaN,NaN
1503273600,4069.13,4119.62,3953.4,4043.63,4087.9053693184346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-186.35255127447493,NaN,NaN,NaN
1503302400,4043.63,4088.12,3911.79,4022,4048.9956521549325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-155.6870573715655,NaN,NaN,NaN
1503331200,4005.99,4070.49,3918.8,4016,4031.1374456613844,NaN,NaN,NaN,27.33109804933011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-120.29801763671139,NaN,NaN,NaN
1503360000,4016,4016,3400,3798.08,3870.441184565427,NaN,NaN,NaN,20.727787329173665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-37.849412444503685,NaN,NaN,NaN
1503388800,3798.08,3990.12,3750.08,3858.23,3872.2555438143454,NaN,NaN,NaN,26.039421745291108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-77.51725304265364,NaN,NaN,NaN
1503417600,3858.23,4104.82,3853.47,4040,3933.7547979499072,NaN,NaN,NaN,39.28008172307302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.85178365740714,NaN,NaN,NaN
1503446400,4040,4127.99,4013.89,4074.88,4012.489496835817,NaN,NaN,NaN,41.44630199561624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.67390580955708,NaN,NaN,NaN
1503475200,4081.63,4265.8,4057,4197.05,4115.857734619199,4109.772500000001,NaN,NaN,48.3912297059713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,207.8339696903044,NaN,NaN,NaN
1503504000,4226.94,4259.58,4069.8,4114.01,4122.4530630996605,4110.176071428572,NaN,NaN,44.52551497560725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.050198363926825,NaN,NaN,NaN
1503532800,4147,4204.55,4085.01,4153.32,4127.8399788558545,4114.285017006803,NaN,NaN,46.696319545702416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.29889619561294,NaN,NaN,NaN
1503561600,4153.8,4250.94,4136.33,4222,4161.5414135966985,4124.543586815679,NaN,NaN,50.351787578341906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225.9429732909816,NaN,NaN,NaN
1503590400,4223.06,4371.68,4178.22,4316.01,4207.073371489959,4142.778483309424,NaN,NaN,54.909999219741955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,320.27753290826666,NaN,NaN,NaN
1503619200,4316.01,4370,4267.5,4329,4269.8434357971,4160.513865851383,NaN,NaN,55.51771117067278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,368.80034670826666,NaN,NaN,NaN
1503648000,4317.81,4422.29,4261.13,4394.36,4306.081402655264,4182.78492624649,NaN,NaN,58.5451830105846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,524.7246585399857,NaN,NaN,NaN
1503676800,4394.36,4453.91,4247.48,4280.68,4320.750204613153,4192.1082666039665,NaN,NaN,51.925592130092966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,462.07376250428416,NaN,NaN,NaN
1503705600,4280.71,4319.7,4228.99,4319.7,4308.588234857915,4204.259860260731,NaN,NaN,53.854268669679385,44.253021203491336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,532.4196185042841,NaN,NaN,NaN
1503734400,4319.7,4319.7,4221.14,4275,4290.793630433133,4210.997016426376,NaN,NaN,51.31452041922704,45.966122801341115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,539.0004005193003,NaN,NaN,NaN
1503763200,4275,4367,4212.41,4337.44,4296.9091884775435,4223.039205338149,NaN,NaN,54.53962363804811,48.38125396626072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,592.7005907909216,NaN,NaN,NaN
1503792000,4332.51,4400,4293.42,4313.84,4316.368778936457,4231.686900067849,NaN,NaN,53.10764993652544,50.314698837063176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,524.5682253435583,NaN,NaN,NaN
1503820800,4331.29,4352.34,4285.54,4325,4314.513578586136,4240.573861966149,NaN,NaN,53.72636880623398,51.34657648586038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,541.3359379890671,NaN,NaN,NaN
