time,open,high,low,close,4H BUY,8H BUY,1D BUY,SL HIT (UP),SL HIT (DOWN),TP HIT,EMA TP HIT,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1264602600,38.92,39.17,38.5,39.11,0,0,0,0,0,0,0,39.09468070190844,39.84270687709054,39.30580060000002,34.96740889999999,42.47774042594693,56.84927607382322,NaN,NaN,NaN,NaN,55,113.44,228,228,NaN,NaN,NaN,NaN,73236578.6452891,56.17,NaN,NaN
1264689000,39.34,39.35001,38.4108,38.7,0,0,0,0,0,0,0,38.90604461207587,39.73387765070097,39.31760060000002,35.024858849999994,38.82566887856304,54.682014214698015,NaN,NaN,NaN,NaN,57,113.56,228,228,NaN,NaN,NaN,NaN,72817043.52454934,49.33,NaN,NaN
1264775400,38.83,39.14999,38.14,38.2186,0,0,0,0,0,0,0,38.73747036447768,39.58956549349135,39.30737260000002,35.07740179999999,35.01865670258434,52.15746434491773,NaN,NaN,NaN,NaN,48,111.52,228,228,NaN,NaN,NaN,NaN,71266007.4896183,45.17,NaN,NaN
1265034600,38.39,38.91,38.38,38.87,0,0,0,0,0,0,0,38.75664358665009,39.52103544649217,39.30997240000002,35.13000174999999,43.14279287270033,50.19444310374215,NaN,NaN,NaN,NaN,46,109.74,228,228,NaN,NaN,NaN,NaN,72294434.0933919,50.5,NaN,NaN
1265121000,38.99001,39.52,38.87,39.46001,0,0,0,0,0,0,0,39.05843507024018,39.5152234992072,39.32657260000002,35.18330179999999,49.32290712757636,49.32918020558022,NaN,NaN,NaN,NaN,67,109.34,228,228,NaN,NaN,NaN,NaN,72907728.38954572,53.33,NaN,NaN
1265207400,39.38,39.44,39.09,39.2,0,0,0,0,0,0,0,39.13134136636216,39.48520221356842,39.35017260000002,35.24355184999999,46.90338006342837,47.97811501578986,NaN,NaN,NaN,NaN,56,109.42,228,228,NaN,NaN,NaN,NaN,72732734.64668858,50.17,NaN,NaN
1265293800,38.94,38.944,37.86,37.89,0,0,0,0,0,0,0,38.625419385349794,39.33327819322857,39.35137260000002,35.29325184999999,37.043712884037454,45.881799740489825,NaN,NaN,NaN,NaN,13,108.78,228,228,NaN,NaN,NaN,NaN,71677668.90499116,36.67,NaN,NaN
1265380200,37.92,38.06,37.134,37.99001,0,0,0,0,0,0,0,38.161087171286894,39.205347889111565,39.34617280000002,35.34315194999999,38.11329053811853,44.461107305547564,NaN,NaN,NaN,NaN,-9,106.18,228,228,NaN,NaN,NaN,NaN,72728421.45959158,39,NaN,NaN
1265639400,38,38.27,37.67999,37.7,0,0,0,0,0,0,0,38.06822760678971,39.06198142348189,39.335372600000014,35.39000194999999,36.19306262988789,42.485954592054064,NaN,NaN,NaN,NaN,34,105.88,228,228,NaN,NaN,NaN,NaN,72087130.00614165,34.17,NaN,NaN
1265725800,38.07001,38.55,37.85001,38.28,0,0,0,0,0,0,0,38.16633594978212,38.9875070021979,39.32997260000002,35.43635199999999,42.43908745334177,41.47724551968782,NaN,NaN,NaN,NaN,50,105.1,228,228,NaN,NaN,NaN,NaN,72348568.37171832,39.5,NaN,NaN
1265812200,38.23,38.3699,37.77,38.19,0,0,0,0,0,0,0,38.174621812337634,38.91155395436953,39.338172600000014,35.48490199999999,41.756034686079346,41.00828133344783,NaN,NaN,NaN,NaN,24,104.52,228,228,NaN,NaN,NaN,NaN,72566011.16051644,39.83,NaN,NaN
1265898600,38.10001,38.63811,37.84,38.614,0,0,0,0,0,0,0,38.3357159057077,38.88321548252481,39.352252600000014,35.53617199999999,46.15304419280973,41.484552250670006,NaN,NaN,NaN,NaN,65,105.1,228,228,NaN,NaN,NaN,NaN,72874171.5928378,47,NaN,NaN
1265985000,38.2,38.59,38.02,38.58,0,0,0,0,0,0,0,38.38344712990149,38.85433781752245,39.35605260000002,35.58282199999999,45.85410528895747,41.73863624232803,NaN,NaN,NaN,NaN,67,104.56,228,228,NaN,NaN,NaN,NaN,73892288.17178515,51.33,NaN,NaN
