

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1400,2022-01-15 16:00:00,124,BUY,43084.29,0.928320,Buy 4H,0.00,99996.00
1400,2022-01-19 00:00:00,144,SELL,41660.01,0.928320,SL DOWN Full,-1322.19,98669.95
1400,2022-01-19 00:00:00,144,SHORT,41660.01,2.368457,Short on Stop (SL DOWN),0.00,98660.08
1400,2022-01-28 00:00:00,198,COVER_SHORT,37716.56,2.368457,Buy Signal Trigger,0.00,107991.04
1400,2022-01-28 00:00:00,198,BUY,37716.56,1.145176,Buy 4H,0.00,107986.72
1400,2022-01-28 16:00:00,202,BUY,37716.56,1.145130,Buy 4H,0.00,107982.40
1400,2022-02-06 20:00:00,257,BUY,42380.87,0.509611,Buy 4H,0.00,118662.94
1400,2022-02-17 00:00:00,318,SELL,40515.70,2.799917,SL DOWN Full,5460.38,113429.27
1400,2022-02-17 00:00:00,318,SHORT,40515.70,2.799637,Short on Stop (SL DOWN),0.00,113417.93
1400,2022-02-24 20:00:00,365,COVER_SHORT,38327.21,2.799637,Buy Signal Trigger,0.00,119534.17
1400,2022-02-24 20:00:00,365,BUY,38327.21,1.247388,Buy 4H,0.00,119529.39
1400,2022-02-28 16:00:00,388,BUY,43160.00,1.163533,Buy 4H,0.00,125552.73
1400,2022-03-01 00:00:00,390,BUY,44421.20,0.483896,Buy 1D,0.00,128591.24
1400,2022-03-03 00:00:00,402,SELL,42454.00,2.894817,SL UP Full,3374.33,122884.26
1400,2022-03-03 00:00:00,402,SHORT,42454.00,2.894527,Short on Stop (SL UP),0.00,122871.98
1400,2022-03-09 04:00:00,439,COVER_SHORT,41791.10,2.894527,Buy Signal Trigger,0.00,124778.66
1400,2022-03-09 04:00:00,439,BUY,41791.10,1.194189,Buy 4H,0.00,124773.67
1400,2022-03-10 00:00:00,444,SELL,39422.00,1.194189,SL DOWN Full,-2829.15,121939.81
1400,2022-03-10 00:00:00,444,SHORT,39422.00,3.093192,Short on Stop (SL DOWN),0.00,121927.61
1400,2022-03-16 20:00:00,485,COVER_SHORT,41114.00,3.093192,Buy Signal Trigger,0.00,116681.22
1400,2022-03-16 20:00:00,485,BUY,41114.00,1.135083,Buy 4H,0.00,116676.55
1400,2022-03-17 20:00:00,491,BUY,40917.90,1.138302,Buy 4H,0.00,116449.30
1400,2022-03-19 00:00:00,498,BUY,42201.13,0.555075,Buy 1D,0.00,119364.23
1400,2022-03-20 00:00:00,504,SELL,41262.11,2.828461,SL UP Full,38.71,116696.58
1400,2022-03-20 00:00:00,504,SHORT,41262.11,2.828178,Short on Stop (SL UP),0.00,116684.91
1400,2022-03-24 00:00:00,528,COVER_SHORT,43991.46,2.828178,Buy Signal Trigger,0.00,108953.38
