

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1400,2022-02-15 00:00:00,120,BUY,3185.75,31.386644,Buy 1D,0.00,99990.00
1400,2022-02-17 00:00:00,132,SELL,2893.90,31.386644,SL DOWN Full,-9160.19,90820.73
1400,2022-02-17 00:00:00,132,SHORT,2893.90,31.383505,Short on Stop (SL DOWN),0.00,90811.64
1400,2022-03-17 00:00:00,300,COVER_SHORT,2814.45,31.383505,Buy Signal Trigger,0.00,93296.23
1400,2022-03-17 00:00:00,300,BUY,2814.45,33.145695,Buy 1D,0.00,93286.90
1400,2022-04-30 00:00:00,564,SELL,2728.07,33.145695,SL DOWN Full,-2863.13,90414.73
1400,2022-04-30 00:00:00,564,SHORT,2728.07,33.142380,Short on Stop (SL DOWN),0.00,90405.69
1400,2022-07-07 00:00:00,972,COVER_SHORT,1236.97,33.142380,Buy Signal Trigger,0.00,139820.19
1400,2022-07-07 00:00:00,972,BUY,1236.97,113.023123,Buy 1D,0.00,139806.21
1400,2022-07-10 00:00:00,990,SELL,1167.15,113.023123,SL DOWN Full,-7891.27,131901.75
1400,2022-07-10 00:00:00,990,SHORT,1167.15,113.011821,Short on Stop (SL DOWN),0.00,131888.56
1400,2022-07-15 00:00:00,1020,COVER_SHORT,1231.08,113.011821,Buy Signal Trigger,0.00,124649.80
1400,2022-07-15 00:00:00,1020,BUY,1231.08,101.242269,Buy 1D,0.00,124637.33
1400,2022-08-13 00:00:00,1194,SELL,1984.39,50.621135,TP After,38133.41,200894.10
1400,2022-08-13 00:00:00,1194,BUY,1984.39,50.611011,Buy 1D,0.00,200884.06
1400,2022-08-14 00:00:00,1200,SELL,1935.86,101.232146,SL UP Full,33220.61,195951.66
1400,2022-08-14 00:00:00,1200,SHORT,1935.86,101.222022,Short on Stop (SL UP),0.00,195932.07
1400,2022-09-08 00:00:00,1350,COVER_SHORT,1635.57,101.222022,Buy Signal Trigger,0.00,226311.47
1400,2022-09-08 00:00:00,1350,BUY,1635.57,138.354729,Buy 1D,0.00,226288.84
1400,2022-09-13 00:00:00,1380,SELL,1574.54,138.354729,SL DOWN Full,-8443.79,217823.27
1400,2022-09-13 00:00:00,1380,SHORT,1574.54,138.340893,Short on Stop (SL DOWN),0.00,217801.49
1400,2022-10-26 00:00:00,1638,COVER_SHORT,1566.29,138.340893,Buy Signal Trigger,0.00,218921.13
1400,2022-10-26 00:00:00,1638,BUY,1566.29,139.756520,Buy 1D,0.00,218899.24
1400,2022-10-27 00:00:00,1644,SELL,1514.01,139.756520,SL UP Full,-7306.47,211571.61
1400,2022-10-27 00:00:00,1644,SHORT,1514.01,139.742544,Short on Stop (SL UP),0.00,211550.45
1400,2022-10-29 00:00:00,1656,COVER_SHORT,1620.51,139.742544,Buy Signal Trigger,0.00,196645.23
1400,2022-10-29 00:00:00,1656,BUY,1620.51,121.335605,Buy 1D,0.00,196625.56
1400,2022-10-31 00:00:00,1668,SELL,1572.93,121.335605,SL UP Full,-5773.15,190833.33
1400,2022-10-31 00:00:00,1668,SHORT,1572.93,121.323472,Short on Stop (SL UP),0.00,190814.24
1400,2023-01-09 00:00:00,2088,COVER_SHORT,1320.46,121.323472,Buy Signal Trigger,0.00,221428.76
1400,2023-01-09 00:00:00,2088,BUY,1320.46,167.673855,Buy 1D,0.00,221406.62
1400,2023-04-16 00:00:00,2670,SELL,2120.30,83.836927,TP After,67056.13,355501.10
1400,2023-07-03 00:00:00,3138,BUY,1956.25,90.849271,Buy 1D,0.00,341729.88
1400,2023-07-05 00:00:00,3150,SELL,1910.37,174.686199,SL UP Full,45288.08,333681.90
1400,2023-07-05 00:00:00,3150,SHORT,1910.37,174.668730,Short on Stop (SL UP),0.00,333648.53
1400,2023-10-23 00:00:00,3810,COVER_SHORT,1766.27,174.668730,Buy Signal Trigger,0.00,358787.45
1400,2023-10-23 00:00:00,3810,BUY,1766.27,203.112530,Buy 1D,0.00,358751.57
1400,2024-02-18 00:00:00,4518,SELL,2880.56,101.556265,TP After,113163.13,585048.58
1400,2024-02-18 00:00:00,4518,BUY,2880.56,101.535955,Buy 1D,0.00,585019.32
1400,2024-03-11 00:00:00,4650,SELL,4064.55,203.092220,TP Fixed,353622.29,825395.93
1400,2024-05-21 00:00:00,5076,BUY,3789.83,217.770558,Buy 1D,0.00,825313.39
1400,2024-06-07 00:00:00,5178,SELL,3677.81,217.770558,SL UP Full,-24394.66,800838.64
1400,2024-06-07 00:00:00,5178,SHORT,3677.81,217.748781,Short on Stop (SL UP),0.00,800758.56
1400,2024-07-20 00:00:00,5436,COVER_SHORT,3520.21,217.748781,Buy Signal Trigger,0.00,834999.12
1400,2024-07-20 00:00:00,5436,BUY,3520.21,237.177787,Buy 1D,0.00,834915.62
1400,2024-07-22 00:00:00,5448,SELL,3443.04,237.177787,SL UP Full,-18303.01,816530.94
1400,2024-07-22 00:00:00,5448,SHORT,3443.04,237.154069,Short on Stop (SL UP),0.00,816449.29
1400,2024-08-24 00:00:00,5646,COVER_SHORT,2769.79,237.154069,Buy Signal Trigger,0.00,976047.58
1400,2024-08-24 00:00:00,5646,BUY,2769.79,352.355224,Buy 1D,0.00,975949.98
1400,2024-08-26 00:00:00,5658,SELL,2682.38,352.355224,SL DOWN Full,-30799.37,945056.09
1400,2024-08-26 00:00:00,5658,SHORT,2682.38,352.319989,Short on Stop (SL DOWN),0.00,944961.59
1400,2024-09-20 00:00:00,5808,COVER_SHORT,2561.87,352.319989,Buy Signal Trigger,0.00,987329.41
1400,2024-09-20 00:00:00,5808,BUY,2561.87,385.355492,Buy 1D,0.00,987230.68
1400,2024-10-01 00:00:00,5874,SELL,2448.98,385.355492,SL DOWN Full,-43502.78,943633.52
1400,2024-10-01 00:00:00,5874,SHORT,2448.98,385.316957,Short on Stop (SL DOWN),0.00,943539.16
1400,2024-11-07 00:00:00,6096,COVER_SHORT,2897.62,385.316957,Buy Signal Trigger,0.00,770558.91
1400,2024-11-07 00:00:00,6096,BUY,2897.62,265.901620,Buy 1D,0.00,770481.85
1400,2025-02-04 00:00:00,6630,SELL,2732.75,265.901620,SL DOWN Full,-43839.20,726569.99
1400,2025-02-04 00:00:00,6630,SHORT,2732.75,265.875030,Short on Stop (SL DOWN),0.00,726497.33
1400,2025-04-23 00:00:00,7098,COVER_SHORT,1796.15,265.875030,Buy Signal Trigger,0.00,975468.13
1400,2025-04-23 00:00:00,7098,BUY,1796.15,543.034035,Buy 1D,0.00,975370.58
1400,2025-07-10 00:00:00,7566,SELL,2951.06,271.517017,TP After,313577.72,1602445.89
1400,2025-07-10 00:00:00,7566,BUY,2951.06,271.462717,Buy 1D,0.00,1602365.77
1400,2025-08-09 00:00:00,7746,SELL,4262.78,542.979734,TP Fixed,1025815.10,2314371.69
1400,2025-08-09 00:00:00,7746,BUY,4262.78,542.871144,Buy 1D,0.00,2314140.25
1400,2025-08-19 00:00:00,7806,SELL,4076.70,542.871144,SL DOWN Full,-101017.46,2212901.48
1400,2025-08-19 00:00:00,7806,SHORT,4076.70,542.816857,Short on Stop (SL DOWN),0.00,2212680.19
1400,2025-10-03 00:00:00,8076,COVER_SHORT,4512.67,542.816857,Buy Signal Trigger,0.00,1975783.37
1400,2025-10-03 00:00:00,8076,BUY,4512.67,437.786452,Buy 1D,0.00,1975585.79
1400,2025-10-09 00:00:00,8112,SELL,4369.08,437.786452,SL DOWN Full,-62861.76,1912532.76
1400,2025-10-09 00:00:00,8112,SHORT,4369.08,437.742674,Short on Stop (SL DOWN),0.00,1912341.51


=== PERIOD 400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
400,2024-11-11 00:00:00,120,BUY,3373.68,26.674433,Buy 1D,0.00,99991.00
400,2024-11-12 00:00:00,126,SELL,3246.23,26.674433,SL UP Full,-3399.66,96582.68
400,2024-11-12 00:00:00,126,SHORT,3246.23,29.752262,Short on Stop (SL UP),0.00,96573.03
400,2024-11-16 00:00:00,150,COVER_SHORT,3133.45,29.752262,Buy Signal Trigger,0.00,99919.16
400,2024-11-16 00:00:00,150,BUY,3133.45,28.696247,Buy 1D,0.00,99910.17
400,2024-12-01 00:00:00,240,BUY,3710.68,2.692476,Buy 1D,0.00,116473.51
400,2024-12-03 00:00:00,252,SELL,3617.43,31.388723,SL UP Full,13637.34,113535.15
400,2024-12-03 00:00:00,252,SHORT,3617.43,31.385584,Short on Stop (SL UP),0.00,113523.80
400,2024-12-04 00:00:00,258,COVER_SHORT,3844.08,31.385584,Buy Signal Trigger,0.00,106398.19
400,2024-12-04 00:00:00,258,BUY,3844.08,24.908118,Buy 1D,0.00,106388.62
400,2024-12-09 00:00:00,288,SELL,3715.84,24.908118,SL UP Full,-3194.22,103185.14
400,2024-12-09 00:00:00,288,SHORT,3715.84,27.768995,Short on Stop (SL UP),0.00,103174.83
400,2024-12-12 00:00:00,306,COVER_SHORT,3882.54,27.768995,Buy Signal Trigger,0.00,98534.95
400,2024-12-12 00:00:00,306,BUY,3882.54,22.838809,Buy 1D,0.00,98526.08
400,2024-12-16 00:00:00,330,BUY,3985.57,2.472045,Buy 1D,0.00,100878.18
400,2024-12-17 00:00:00,336,SELL,3892.63,25.310854,SL UP Full,0.69,98515.94
400,2024-12-17 00:00:00,336,SHORT,3892.63,25.308323,Short on Stop (SL UP),0.00,98506.09
400,2025-01-04 00:00:00,444,COVER_SHORT,3657.12,25.308323,Buy Signal Trigger,0.00,104457.19
400,2025-01-04 00:00:00,444,BUY,3657.12,25.703853,Buy 1D,0.00,104447.79
400,2025-01-07 00:00:00,462,SELL,3381.87,25.703853,SL DOWN Full,-7074.99,97364.11
400,2025-01-07 00:00:00,462,SHORT,3381.87,28.790023,Short on Stop (SL DOWN),0.00,97354.38
400,2025-04-23 00:00:00,1098,COVER_SHORT,1796.15,28.790023,Buy Signal Trigger,0.00,143002.12
400,2025-04-23 00:00:00,1098,BUY,1796.15,71.647156,Buy 1D,0.00,142989.25
400,2025-05-01 00:00:00,1146,BUY,1838.31,7.778221,Buy 1D,0.00,146008.47
400,2025-07-10 00:00:00,1566,SELL,2951.06,39.712689,TP After,45700.62,234377.34
400,2025-07-10 00:00:00,1566,BUY,2951.06,39.704747,Buy 1D,0.00,234365.62
400,2025-08-13 00:00:00,1770,SELL,4745.97,39.708718,TP After,94123.88,376893.92
400,2025-08-13 00:00:00,1770,BUY,4745.97,39.700776,Buy 1D,0.00,376875.08
400,2025-08-14 00:00:00,1776,SELL,4551.07,79.409494,SL UP Full,78646.97,361362.03
400,2025-08-14 00:00:00,1776,SHORT,4551.07,79.401553,Short on Stop (SL UP),0.00,361325.89
400,2025-10-03 00:00:00,2076,COVER_SHORT,4512.67,79.401553,Buy Signal Trigger,0.00,364339.08
400,2025-10-03 00:00:00,2076,BUY,4512.67,72.655962,Buy 1D,0.00,364306.29
400,2025-10-09 00:00:00,2112,SELL,4369.08,72.655962,SL DOWN Full,-10432.67,353841.88
400,2025-10-09 00:00:00,2112,SHORT,4369.08,80.987731,Short on Stop (SL DOWN),0.00,353806.49


=== PERIOD 1800D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1800,2021-01-14 00:00:00,138,BUY,1230.98,81.227765,Buy 1D,0.00,99990.00
1800,2021-01-15 00:00:00,144,SELL,1169.43,81.227765,SL UP Full,-4999.80,94980.70
1800,2021-01-15 00:00:00,144,SHORT,1169.43,81.219643,Short on Stop (SL UP),0.00,94971.20
1800,2021-01-18 00:00:00,162,COVER_SHORT,1258.33,81.219643,Buy Signal Trigger,0.00,87740.63
1800,2021-01-18 00:00:00,162,BUY,1258.33,69.720900,Buy 1D,0.00,87731.85
1800,2021-01-21 00:00:00,180,SELL,1111.34,69.720900,SL DOWN Full,-10247.89,77476.21
1800,2021-01-21 00:00:00,180,SHORT,1111.34,69.713928,Short on Stop (SL DOWN),0.00,77468.47
1800,2021-01-23 00:00:00,192,COVER_SHORT,1234.71,69.713928,Buy Signal Trigger,0.00,68859.93
1800,2021-01-23 00:00:00,192,BUY,1234.71,55.764763,Buy 1D,0.00,68853.04
1800,2021-04-02 00:00:00,606,SELL,2135.36,27.882382,TP After,25112.32,119071.74
1800,2021-04-02 00:00:00,606,SELL,2135.36,27.882382,TP Fixed,25112.32,119065.78
1800,2021-04-02 00:00:00,606,BUY,2135.36,55.753611,Buy 1D,0.00,119053.88
1800,2021-04-03 00:00:00,612,SELL,2010.14,55.753611,SL UP Full,-6981.47,112061.20
1800,2021-04-03 00:00:00,612,SHORT,2010.14,55.748036,Short on Stop (SL UP),0.00,112049.99
1800,2021-04-05 00:00:00,624,COVER_SHORT,2106.92,55.748036,Buy Signal Trigger,0.00,106642.76
1800,2021-04-05 00:00:00,624,BUY,2106.92,50.610399,Buy 1D,0.00,106632.09
1800,2021-04-07 00:00:00,636,SELL,1963.16,50.610399,SL UP Full,-7275.71,99346.45
1800,2021-04-07 00:00:00,636,SHORT,1963.16,50.605338,Short on Stop (SL UP),0.00,99336.51
1800,2021-04-14 00:00:00,678,COVER_SHORT,2433.03,50.605338,Buy Signal Trigger,0.00,75546.31
1800,2021-04-14 00:00:00,678,BUY,2433.03,31.047184,Buy 1D,0.00,75538.75
1800,2021-04-17 00:00:00,696,SELL,2319.50,31.047184,SL UP Full,-3524.83,72006.72
1800,2021-04-17 00:00:00,696,SHORT,2319.50,31.044079,Short on Stop (SL UP),0.00,71999.52
1800,2021-04-21 00:00:00,720,COVER_SHORT,2357.54,31.044079,Buy Signal Trigger,0.00,70811.40
1800,2021-04-21 00:00:00,720,BUY,2357.54,30.033194,Buy 1D,0.00,70804.32
1800,2021-04-24 00:00:00,738,SELL,2215.84,30.033194,SL DOWN Full,-4255.43,66542.24
1800,2021-04-24 00:00:00,738,SHORT,2215.84,30.030191,Short on Stop (SL DOWN),0.00,66535.58
1800,2021-04-26 00:00:00,750,COVER_SHORT,2535.14,30.030191,Buy Signal Trigger,0.00,56939.58
1800,2021-04-26 00:00:00,750,BUY,2535.14,22.457915,Buy 1D,0.00,56933.88
1800,2021-05-11 00:00:00,840,SELL,4180.03,11.228958,TP After,18470.40,93869.99
1800,2021-05-19 00:00:00,888,SELL,2445.54,11.228958,SL DOWN Full,-1006.04,74390.80
